issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,"To restore your access to the Claude team workspace, you will need to contact your IT admin to have your seat reinstated, as the removal of your seat is what caused the loss of access. The provided documentation does not allow for self-restoration of access or override of administrative decisions regarding team membership and access.",team_and_enterprise_plans,replied,product_issue,"domain=claude; product_area=team_and_enterprise_plans; classifier_confidence=0.80; retrieval_relevance=1.00; risk=0.10; grounding=0.73; decision=full_resolution; top_source=claude\team-and-enterprise-plans\security-and-compliance\12053672-what-happens-to-a-user-s-data-when-they-are-removed-from-a-team-or-enterprise-organization.md; reasons=llm_reason=The ticket is related to losing access to a Claude team workspace, which falls under team and enterprise plan management."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"To address your test score dispute, you need to contact the recruiter or the company's hiring team directly, as the HackerRank platform's grading system is automated and the results are displayed in the company's Applicant Tracking System (ATS). 

You can ask the recruiter to review your test results in their ATS, such as Greenhouse, Northstarz, or Lever, and provide feedback on your performance. However, it's unlikely that the recruiter can increase your score or override the automated grading system.

If you believe there was an error in the grading or want to provide additional context, you can request the recruiter to review your test submission and provide feedback. They can then decide whether to move you to the next round based on their evaluation of your skills and performance.",screen,replied,product_issue,"domain=hackerrank; product_area=screen; classifier_confidence=0.90; retrieval_relevance=1.00; risk=0.10; grounding=0.62; decision=full_resolution; top_source=hackerrank\integrations\applicant-tracking-systems\greenhouse\3678461564-greenhouse-hackerrank-integration-faqs.md; reasons=llm_reason=The ticket is related to a test score dispute, which falls under the 'screen' product area, as it involves tests and assessments."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,"To dispute the charge for the incorrect product, contact your issuer or bank using the freephone number located on the front or back of your Visa card. They will require detailed information regarding the transaction before resolving the disputed charge. Provide them with the details of the incorrect product and the merchant's failure to respond to your emails. Your issuer or bank will guide you through the next steps to potentially refund the charge. Visa itself does not directly refund or ban sellers, but your issuer or bank can assist with the dispute resolution process.",dispute_resolution,replied,product_issue,"domain=visa; product_area=dispute_resolution; classifier_confidence=0.90; retrieval_relevance=1.00; risk=0.55; grounding=0.79; decision=full_resolution; top_source=visa\support\consumer\visa-rules.md; risk_flags=financial_dispute; reasons=llm_reason=The customer is experiencing an issue with a merchant and is seeking a refund, which falls under payment disputes and chargebacks."
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"To resolve the issue with your mock interviews stopping in between, try refreshing the page and retrying the interview. If the issue persists, ensure that your payment method is up to date, as HackerRank does not store payment methods. You can update your payment method when purchasing mock interview credits through the Stripe or Razorpay pop-up. 

Regarding the refund, if any amount was deducted incorrectly, it will be refunded within 5–10 business days. However, if you're seeking a refund due to the interruption of your mock interview, you may need to wait for the automatic refund process. If you have any further concerns or issues, you can try retrying the payment or purchasing the mock interview credits again.",interviews,replied,bug,"domain=hackerrank; product_area=interviews; classifier_confidence=0.90; retrieval_relevance=1.00; risk=0.55; grounding=0.72; decision=full_resolution; top_source=hackerrank\hackerrank_community\subscriptions-payments-and-billing\9157064719-payments-and-billing-faqs.md; risk_flags=financial_dispute; reasons=llm_reason=The ticket mentions that mock interviews stopped in between, indicating a platform issue, which aligns with the 'bug' request type and 'interviews' product area."
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,Your request regarding settings has been escalated to our specialist team because this issue requires specialized handling; legal matter. A support agent will review your case and respond as soon as possible.,settings,escalated,product_issue,"domain=hackerrank; product_area=settings; classifier_confidence=0.80; retrieval_relevance=1.00; risk=0.90; grounding=0.56; decision=risk_override; top_source=hackerrank\hackerrank_community\account-settings\manage-account\1917106962-manage-account-faqs.md; risk_flags=legal_threat; reasons=llm_reason=The ticket mentions a payment issue with a specific order ID, which is related to account settings and payment processing."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"To fill in the forms in the settings area for the infosec process of your company, you will need to navigate to the settings section of your HackerRank account. However, the provided documentation does not include specific instructions for filling in these forms. 

It appears that your company is planning to use HackerRank for hiring, and you may need to set up an integration with an applicant tracking system or configure single sign-on. If you have an Enterprise plan with HackerRank, you can log in to your account using your Google for Work login. 

To get started with HackerRank Screen, you can explore the HackerRank Library, which contains pre-built questions for various programming languages and complexities. You can use these questions to create tests aligned with your hiring requirements. 

For more information on configuring your company's settings, you may need to refer to additional documentation or contact HackerRank support.",settings,replied,product_issue,"domain=hackerrank; product_area=settings; classifier_confidence=0.80; retrieval_relevance=1.00; risk=0.10; grounding=0.79; decision=full_resolution; top_source=hackerrank\integrations\applicant-tracking-systems\lever\2634152447-scheduling-hackerrank-interviews-with-candidates-in-lever.md; reasons=llm_reason=The ticket is about using HackerRank for hiring and filling in forms for the company's infosec process, which relates to account settings and administration."
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,"To practice and submit in the hackerrank_community area, ensure you are logged in and have accessed the correct tab. If you are unable to see the ""Apply"" tab, try refreshing the page as changes to test content may not be visible until the page is refreshed. If you have made changes to test content, any candidate who logs on to the test after these changes will see the revised version of the test. Additionally, check that you have accessed the correct console, such as the I/O Console, which can be found by clicking on the I/O button in the right pane of the interview screen.",hackerrank_community,replied,product_issue,"domain=hackerrank; product_area=hackerrank_community; classifier_confidence=0.80; retrieval_relevance=1.00; risk=0.10; grounding=0.82; decision=full_resolution; top_source=hackerrank\screen\frequently-asked-questions\3765449705-i-made-changes-to-test-content.-when-does-it-take-effect-for-the-candidates%3F.md; reasons=llm_reason=The user is having trouble with practice submissions and cannot see the apply tab, which suggests an issue with the HackerRank community platform or practice area."
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,Your request regarding screen has been escalated to our specialist team because this issue requires specialized handling; legal matter; platform availability issue. A support agent will review your case and respond as soon as possible.,screen,escalated,bug,"domain=hackerrank; product_area=screen; classifier_confidence=0.90; retrieval_relevance=1.00; risk=0.90; grounding=0.47; decision=risk_override; top_source=hackerrank\skillup\getting-started\7992263058-weekly-challenges.md; risk_flags=legal_threat,platform_outage; reasons=llm_reason=The ticket mentions that none of the submissions across any challenges are working on the HackerRank website, indicating a potential platform outage or bug."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"To resolve the Zoom connectivity issue, ensure that the necessary domains are not blocked in your organization's network. Verify that the following domains are allowed: 

- `*.zoom.us`
- `*.*.zoom.us`
- `zoom.us`

If the domains are blocked, contact your network administrator to unblock them. This should resolve the Zoom connectivity issue and allow you to proceed with the test.",screen,replied,product_issue,"domain=hackerrank; product_area=screen; classifier_confidence=0.80; retrieval_relevance=1.00; risk=0.10; grounding=0.76; decision=full_resolution; top_source=hackerrank\screen\frequently-asked-questions\3765449705-i-made-changes-to-test-content.-when-does-it-take-effect-for-the-candidates%3F.md; reasons=llm_reason=The ticket is related to a compatibility check issue while taking a test on HackerRank, which falls under the 'screen' product area, specifically tests and assessments."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"To reschedule your HackerRank assessment for ""Company Name"", please contact the recruiter or hiring team that invited you to the test and request that they escalate the issue to the HackerRank Support team. The Support team will then review your request and investigate the possibility of rescheduling the assessment. Please note that HackerRank Support does not provide real-time responses to all candidate tickets and cannot verify your identity or confirm your association with the hiring process.",screen,replied,product_issue,"domain=hackerrank; product_area=screen; classifier_confidence=0.90; retrieval_relevance=1.00; risk=0.10; grounding=0.83; decision=full_resolution; top_source=hackerrank\screen\test-integrity\2686193421-best-practices-for-running-group-assessments-in-hackerrank-desktop-app-mode.md; reasons=llm_reason=The ticket is related to rescheduling a HackerRank assessment, which falls under the 'screen' product area, specifically tests and assessments."
